References,ISO/IEC 27001:2022
Cross-Reference Creator,Independent
GV,
GV.OC,
GV.OC-01,
GV.OC-02,
GV.OC-03,
GV.OC-04,
GV.OC-05,Control 5.8
GV.RM,
GV.RM-01,
GV.RM-02,
GV.RM-03,
GV.RM-04,
GV.RM-05,
GV.RM-06,
GV.RM-07,
GV.RR,
GV.RR-01,Control 5.4
GV.RR-02,"Control 5.2, Control 5.3"
GV.RR-03,Control 6.6
GV.RR-04,
GV.PO,
GV.PO-01,"Control 5.1, Control 5.37, Control 6.1, Control 6.2, Control 6.4, Control 6.5, Control 6.7, Control 6.8"
GV.PO-02,"Control 5.31, Control 5.32, Control 5.34"
GV.OV,
GV.OV-01,"Control 5.5, Control 5.6, Control 5.24"
GV.OV-02,"Control 5.27, Control 5.35, Control 5.36"
GV.OV-03,"Control 8.30, Control 8.32, Control 8.34"
GV.SC,
GV.SC-01,"Control 5.19, Control 5.21"
GV.SC-02,
GV.SC-03,
GV.SC-04,
GV.SC-05,Control 5.20
GV.SC-06,
GV.SC-07,Control 5.22
GV.SC-08,
GV.SC-09,
GV.SC-10,
ID,
ID.AM,
ID.AM-01,Control 5.9
ID.AM-02,
ID.AM-03,
ID.AM-04,
ID.AM-05,
ID.AM-07,
ID.AM-08,Control 5.11
ID.RA,
ID.RA-01,
ID.RA-02,Control 5.7
ID.RA-03,
ID.RA-04,
ID.RA-05,
ID.RA-06,
ID.RA-07,
ID.RA-08,
ID.RA-09,
ID.RA-10,
ID.IM,
ID.IM-01,
ID.IM-02,
ID.IM-03,
ID.IM-04,
PR,
PR.AA,
PR.AA-01,Control 5.16
PR.AA-02,
PR.AA-03,"Control 5.17, Control 8.5"
PR.AA-04,
PR.AA-05,"Control 5.15, Control 5.18, Control 8.2, Control 8.3, Control 8.4, Control 8.18"
PR.AA-06,"Control 7.1, Control 7.2, Control 7.3, Control 7.4"
PR.AT,
PR.AT-01,Control 6.3
PR.AT-02,
PR.DS,
PR.DS-01,"Control 5.10, Control 5.12, Control 5.13, Control 5.33, Control 7.9, Control 7.10, Control 8.10, Control 8.11, Control 8.12, Control 8.13, Control 8.33"
PR.DS-02,"Control 5.14, Control 8.24"
PR.DS-10,Control 5.23
PR.DS-11,
PR.PS,
PR.PS-01,"Control 8.8, Control 8.9"
PR.PS-02,Control 8.7
PR.PS-03,Control 8.1
PR.PS-04,
PR.PS-05,Control 8.19
PR.PS-06,"Control 8.25, Control 8.26, Control 8.28, Control 8.29, Control 8.31"
PR.IR,
PR.IR-01,"Control 8.20, Control 8.21, Control 8.22, Control 8.23"
PR.IR-02,"Control 7.5, Control 7.6, Control 7.7, Control 7.8, Control 7.11, Control 7.12, Control 7.13, Control 7.14"
PR.IR-03,"Control 8.14, Control 8.17, Control 8.27"
PR.IR-04,
DE,
DE.AE,
DE.AE-02,Control 5.25
DE.AE-03,
DE.AE-04,
DE.AE-06,
DE.AE-07,
DE.AE-08,
DE.CM,
DE.CM-01,Control 8.15
DE.CM-02,
DE.CM-03,Control 8.16
DE.CM-06,
DE.CM-09,Control  8.6
RS,
RS.MA,
RS.MA-01,Control  5.26
RS.MA-02,
RS.MA-03,
RS.MA-04,
RS.MA-05,
RS.AN,
RS.AN-03,
RS.AN-06,
RS.AN-07,Control 5.28
RS.AN-08,
RS.CO,
RS.CO-02,
RS.CO-03,
RS.MI,
RS.MI-01,
RS.MI-02,
RC,
RC.RP,
RC.RP-01,Control 5.29
RC.RP-02,Control 5.30
RC.RP-03,
RC.RP-04,
RC.RP-05,
RC.RP-06,
RC.CO,
RC.CO-03,
RC.CO-04,
,
