References,ISO/IEC 27001:2022
Cross-Reference Creator,Razilio
GV,"Mandatory Clause: 6.1, Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Annex A Controls: 5.1"
GV.OC,"Mandatory Clause: 4.2(a), Mandatory Clause: 4.4, Mandatory Clause: 6.1, Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.OC-01,"Mandatory Clause:  4.1, Mandatory Clause:  6.1,, Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Annex A Controls:"
GV.OC-02,"Mandatory Clause: 4.1, Mandatory Clause: 4.2, Mandatory Clause: 4.4, Mandatory Clause: 6.1, Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Annex A Controls:"
GV.OC-03,"Mandatory Clause: 4.2(a), Mandatory Clause: 4.2(b), Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.OC-04,"Mandatory Clause: 4.2(a), Mandatory Clause: 4.2(b), Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.OC-05,"Mandatory Clause: None, Annex A Controls: 5.3"
GV.RM,"Mandatory Clause: 6.1, Annex A Controls: 5.1"
GV.RM-01,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Annex A Controls: 5.1"
GV.RM-02,"Mandatory Clause: 6.1.2, Annex A Controls: 5.1"
GV.RM-03,"Mandatory Clause: 6.1.3, Annex A Controls: 5.1"
GV.RM-04,"Mandatory Clause: 6.1.3, Annex A Controls: 5.1"
GV.RM-05,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.3, Annex A Controls: 5.1, Annex A Controls: 5.19"
GV.RM-06,"Mandatory Clause: 6.1.2, Annex A Controls: 5.1"
GV.RM-07,"Mandatory Clause: 6.11, Annex A Controls: None"
GV.RR,"Mandatory Clause: 5.3, Annex A Controls: 5.2, Annex A Controls: 5.4"
